"ID Value","ID Type","Is FBA?","Listing Price","Listing Price Currency Code","Shipping Price","Shipping Price Currency Code","Total Fees","Total Fees Currency Code"
B008VGQQJY,ASIN,,25.99,USD,9.99,USD,5.4,USD
B00SQ0FUOC,ASIN,,190,USD,9.99,USD,30,USD
B07SHTT11Y,ASIN,,318,USD,9.99,USD,49.2,USD
B01BW6AZ32,ASIN,,20.99,USD,9.99,USD,4.65,USD
B07SHTT1M4,ASIN,,310,USD,9.99,USD,48,USD
B08X6CPP7W,ASIN,,290,USD,9.99,USD,45,USD
B004CG9RGQ,ASIN,,41.99,USD,9.99,USD,7.8,USD
B01NA7H9AI,ASIN,,255,USD,9.99,USD,39.75,USD
B0BYTNDWC3,ASIN,,2799,USD,0,USD,419.85,USD
B01E0LPFIG,ASIN,,34.95,USD,0,USD,5.24,USD
B01E0LPCPW,ASIN,,19.95,USD,0,USD,2.99,USD
B077YXVK9J,ASIN,,19.95,USD,0,USD,2.99,USD
B003Q7ULKI,ASIN,,30.99,USD,0,USD,4.65,USD
B00JS1R302,ASIN,,42.99,USD,0,USD,6.45,USD
B01CQBSTQC,ASIN,,36.95,USD,0,USD,5.54,USD
B071K6TLPL,ASIN,,44.95,USD,0,USD,6.74,USD
B01FZYE0MY,ASIN,,38.2,USD,0,USD,5.73,USD
B01MRTIWNJ,ASIN,,34.95,USD,0,USD,5.24,USD
B077YS927K,ASIN,,15.95,USD,0,USD,2.39,USD
B0000AYCHZ,ASIN,,1349.95,USD,0,USD,202.49,USD
B004U6NBVK,ASIN,,2199.95,USD,0,USD,329.99,USD
B082WH6RYZ,ASIN,,36,USD,0,USD,6.12,USD
B000OYGCIG,ASIN,,35,USD,0,USD,5.95,USD
B082WHKHTC,ASIN,,36,USD,0,USD,6.12,USD
B082WGZN2L,ASIN,,28,USD,0,USD,4.76,USD
B082WG4YYD,ASIN,,29.99,USD,0,USD,5.1,USD
B07J1Y2X35,ASIN,,169.99,USD,0,USD,25.5,USD
B07J21H64T,ASIN,,169.99,USD,0,USD,25.5,USD
B07J1ZG87X,ASIN,,169.99,USD,0,USD,25.5,USD
B07JNCKTQT,ASIN,,189.99,USD,0,USD,28.5,USD
B07QQMT1DS,ASIN,1,339.95,USD,0,USD,68.7,USD
B08WYVSZNF,ASIN,,299.95,USD,0,USD,44.99,USD
B09XJ9Q5ZR,ASIN,1,259.95,USD,0,USD,47.64,USD
B07Y3ZC37R,ASIN,,199.95,USD,0,USD,29.99,USD
B09LKN2DHY,ASIN,,299.95,USD,0,USD,44.99,USD
B001NZPX9E,ASIN,,284.99,USD,0,USD,42.75,USD
B01JH8FHIK,ASIN,,139,USD,0,USD,20.85,USD
B01JH8FHOO,ASIN,,149,USD,0,USD,22.35,USD
B01JH8FHFI,ASIN,,149,USD,0,USD,22.35,USD
B08GFTF79X,ASIN,,259,USD,0,USD,38.85,USD
B08KSJ3FW2,ASIN,,259,USD,0,USD,38.85,USD
B08GFG8K4N,ASIN,,259,USD,0,USD,38.85,USD
B09THQL2VP,ASIN,,229,USD,0,USD,34.35,USD
B09THNYTKG,ASIN,,229,USD,0,USD,34.35,USD
B0C6CTNR2M,ASIN,,509.98,USD,0,USD,76.5,USD
B0CD36YPBY,ASIN,,509.98,USD,0,USD,76.5,USD
B07ZJS3DRY,ASIN,,552.98,USD,0,USD,82.95,USD
B07LFJQDQM,ASIN,,499.95,USD,0,USD,74.99,USD
B0CD38GF3P,ASIN,,595.98,USD,0,USD,89.4,USD
B0CF6MTMLD,ASIN,,574.98,USD,0,USD,86.25,USD
B0CF6P3C19,ASIN,,574.98,USD,0,USD,86.25,USD
B0CF6MWTMX,ASIN,,574.98,USD,0,USD,86.25,USD
B0CD378MQM,ASIN,,784.98,USD,0,USD,117.75,USD
B0CF6BRJ29,ASIN,,679.98,USD,0,USD,102,USD
B09XZ36JFP,ASIN,,711,USD,0,USD,106.65,USD
B092HJRQXR,ASIN,,429.98,USD,0,USD,64.5,USD
B092H3Y2JP,ASIN,,469.98,USD,0,USD,70.5,USD
B093YQ32DG,ASIN,,649.98,USD,0,USD,97.5,USD
B0924RD7VD,ASIN,,649,USD,0,USD,97.35,USD
B0924P8W8G,ASIN,,749,USD,0,USD,112.35,USD
B093YPG94R,ASIN,,649,USD,0,USD,97.35,USD
B00OAC2KEI,ASIN,,11.95,USD,0,USD,1.79,USD
B083S8C2GT,ASIN,,59.95,USD,0,USD,8.99,USD
B083S8C2GT,ASIN,,40,USD,0,USD,6,USD
B083FVPS6L,ASIN,,99.95,USD,0,USD,14.99,USD
B083FVPS6L,ASIN,,74.95,USD,0,USD,11.24,USD
B083CQ75JY,ASIN,,99.95,USD,0,USD,14.99,USD
B083CQ75JY,ASIN,,74.95,USD,0,USD,11.24,USD
B0842C1HZ8,ASIN,,24.95,USD,0,USD,3.74,USD
B003U0583G,ASIN,,94.95,USD,0,USD,14.24,USD
B00ZQ32GL2,ASIN,,99.95,USD,0,USD,14.99,USD
B0BRYMR5PN,ASIN,,599.98,USD,0,USD,90,USD
B07XGZJD4M,ASIN,1,49.94,USD,0,USD,12.68,USD
B08R5MPL66,ASIN,1,48.93,USD,0,USD,11.66,USD
B07XF3C25H,ASIN,1,49.94,USD,0,USD,11.81,USD
B07XBVDWLZ,ASIN,1,49.94,USD,0,USD,11.81,USD
B08R5RJ2B9,ASIN,,49.94,USD,0,USD,7.49,USD
B07X8S6ZBY,ASIN,1,47.46,USD,0,USD,11.44,USD
B08R5QM91K,ASIN,,49.88,USD,0,USD,7.48,USD
B09PQGTYTL,ASIN,,47.45,USD,0,USD,5.69,USD
B099NV58SK,ASIN,,109.98,USD,0,USD,16.5,USD
B09XQW8LBV,ASIN,,899.98,USD,0,USD,135,USD
B09XQWJ1SX,ASIN,,929,USD,0,USD,139.35,USD
B08XXGY1LL,ASIN,,609,USD,0,USD,91.35,USD
B08XW5B5K5,ASIN,,599.98,USD,0,USD,90,USD
B00OAKGE88,ASIN,,19.95,USD,0,USD,2.99,USD
B07B4DQJGG,ASIN,,54.95,USD,0,USD,8.24,USD
